"Var1","Freq"
"AB",0.00681760077266142
"AK",0.000823793426696588
"AL",0.00580916399170525
"AR",0.00443144050222992
"AZ",0.0156804817771213
"BC",0.0222282191858648
"CA",0.228758912592677
"CO",0.0269011163821265
"CT",0.00812430758742153
"DC",0.00451666051188819
"DE",0.00211629690651365
"FL",0.0442149816776979
"GA",0.0250404795045877
"HI",0.00570974064710394
"IA",0.0134789648609494
"ID",0.00242877027526063
"IL",0.023236655966821
"IN",0.00984291111552993
"KS",0.00860722097548504
"KY",0.004772320540863
"LA",0.00320995369712809
"MA",0.0338749538391614
"MB",0.00204528023179843
"MD",0.0209215123711047
"ME",0.00565292730733176
"MI",0.0200835156094651
"MN",0.0183649120813567
"MO",0.0174274919751158
"MS",0.0019742635570832
"MT",0.00154816350879186
"MX",1.42033349430446e-05
"NB",0.00232934693065932
"NC",0.0207510723517882
"ND",0.00177541686788058
"NE",0.0052836405988126
"NH",0.00281226031872284
"NJ",0.0125557480896514
"NL",0.000866403431525722
"NM",0.003820697099679
"NS",0.00218731358122887
"NT",4.26100048291339e-05
"NV",0.00762719086441496
"NY",0.0484191688208391
"OH",0.0201261256142942
"OK",0.00839417095133937
"ON",0.0351106439792063
"OR",0.0151691617191717
"PA",0.022597505894384
"PE",0.00100843678095617
"PR",8.52200096582678e-05
"QC",0.0497400789705423
"RI",0.0042325938130273
"SC",0.00789705422833281
"SD",0.00217311024628583
"SK",0.00203107689685538
"TN",0.0120302246967588
"TX",0.04263841149902
"UT",0.0131380848223163
"VA",0.0191887055080533
"VT",0.00482913388063517
"WA",0.0272135897508735
"WI",0.0113058546146635
"WV",0.00221572025111496
"WY",0.00132091014970315
"YT",0.000426100048291339
